country,gender,school_type,math_score,reading_score,science_score,education_father,education_mother,education_parents,family_structure,immigration_status
133291,Germany,Male,High school,667.9467,633.7589,694.461,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133292,Germany,Female,High school,540.8241,587.9523,624.8042,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133293,Germany,Female,High school,603.3728,631.5599,668.4446,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133294,Germany,Male,High school,615.5242,627.0226,668.0716,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133296,Germany,Female,High school,609.5264,611.2256,635.7143,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
133298,Germany,Male,High school,648.5512,598.1526,713.204,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133299,Germany,Male,High school,598.855,577.3822,617.4375,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133300,Germany,Male,High school,602.4381,638.8914,656.4155,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,Both parents,Second-Generation
133301,Germany,Male,High school,529.0622,574.8962,610.2574,ISCED 2,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133302,Germany,Female,High school,586.2362,633.1485,621.8202,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133303,Germany,Female,High school,593.0129,636.4052,639.1645,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
133304,Germany,Female,High school,549.4703,586.9991,602.984,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133306,Germany,Female,High school,611.318,614.9588,609.0451,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133307,Germany,Male,High school,643.0986,627.8245,671.2421,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133309,Germany,Male,High school,502.5783,531.5911,553.3756,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133310,Germany,Female,High school,658.2879,669.2102,649.7016,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133311,Germany,Male,High school,630.2461,631.3531,629.1869,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133313,Germany,Male,High school,664.9089,564.4709,598.508,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,Both parents,Native
133314,Germany,Male,High school,797.0167,720.0482,771.5778,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133315,Germany,Female,High school,606.3328,629.8919,622.5662,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
133316,Germany,Female,High school,562.6344,600.6613,566.4304,"ISCED 3B, C","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133317,Germany,Male,High school,659.9237,631.0323,673.6665,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133318,Germany,Female,High school,608.8254,592.6387,636.74,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133319,Germany,Male,High school,688.0433,619.8853,651.8463,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133320,Germany,Male,High school,640.5281,563.1878,602.1447,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133321,Germany,Male,High school,776.8422,686.6873,767.1951,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133323,Germany,Female,High school,556.0913,601.3761,522.8833,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133324,Germany,Male,High school,683.5255,600.0772,589.0899,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133325,Germany,Female,High school,559.5186,608.8427,607.7396,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133326,Germany,Female,High school,614.9011,613.1319,608.8586,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133328,Germany,Male,High school,627.2083,572.5705,617.8105,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133329,Germany,Female,High school,522.1296,495.8123,484.3715,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133330,Germany,Female,High school,591.1435,595.0217,627.3219,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133331,Germany,Female,High school,670.9067,625.5232,633.8493,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133332,Germany,Female,High school,621.2884,629.9713,628.3476,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,Native
133333,Germany,Female,High school,578.6026,565.7116,562.4207,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,First-Generation
133334,Germany,Female,High school,511.9255,490.2521,512.4394,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,Both parents,Native
133335,Germany,Female,High school,656.9637,621.8693,670.4028,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133336,Germany,Male,High school,532.4116,485.3991,548.9929,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133337,Germany,Female,High school,699.6495,649.9085,707.5159,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133338,Germany,Female,High school,568.9438,544.8213,558.5043,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133339,Germany,Male,High school,603.1391,592.6192,607.0869,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133340,Germany,Male,High school,687.9654,580.59,631.0518,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133341,Germany,Male,High school,622.7683,542.3372,652.4991,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133342,Germany,Male,High school,511.3803,451.7174,539.668,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133343,Germany,Male,High school,724.2639,665.5962,692.0366,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133344,Germany,Female,High school,520.6496,500.3399,486.7027,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133345,Germany,Male,High school,559.5186,551.72,537.5233,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133346,Germany,Male,High school,615.4463,560.7819,616.132,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",Both parents,Native
133347,Germany,Female,High school,685.6286,661.7437,689.5188,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133348,Germany,Male,High school,592.935,569.3628,639.2577,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133349,Germany,Male,High school,681.0329,614.2717,668.6311,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133351,Germany,Female,Middle school,614.8232,602.4882,677.6762,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133352,Germany,Male,Middle school,544.1735,512.3445,564.9385,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Second-Generation
133353,Germany,Female,Middle school,584.9119999999999,606.1419999999999,644.1067,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133354,Germany,Female,Middle school,452.1031,534.4952,524.0022,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Single father/mother,Native
133355,Germany,Male,Middle school,603.217,585.1611,657.3480000000001,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133356,Germany,Female,Middle school,463.7872,493.2705,497.6128,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133357,Germany,Male,Middle school,605.6317,496.6263,584.4275,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133359,Germany,Female,Middle school,546.2767,608.6044,575.7553,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133360,Germany,Female,Middle school,478.4312,505.344,522.6968,ISCED 5B,ISCED 5B,ISCED 5B,Single father/mother,Native
133362,Germany,Male,Middle school,611.318,556.5316,653.8046,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Single father/mother,Native
133363,Germany,Female,Middle school,455.3747,480.64099999999996,498.7318,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133364,Germany,Female,Middle school,569.6448,585.5694,658.3737,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
